a5,b1,b11,b12,c1,c15,c28,c33,c35,c5,centre,christian,conserv,d4,d6,d9,e4,e5,e7,f1,f2,f27,f3,f30,f32,f5,green,happy,leftparty,liberal,socialdemocrats
"Less than 0,5 hour",Very interested,Yes,SOCIAL DEMOCRATS,8,Good,Yes,Yes,Yes,Yes,0,0,0,Yes,Yes,1.000000,Agree,Agree,Disagree,2.000000,Male,No,1944.000,"Yes, currently",D,Suburbs or outskirts of ,0,1,0,0,1
"0,5 hour to 1 hour",Quite interested,No,NOT APPLICABLE,3,Bad,Yes,Yes,Yes,No,0,0,0,Yes,Yes,2.000000,Disagree strongly,Disagree strongly,Disagree,2.000000,Female,No,1949.000,"Yes, currently",D,Town or small city,0,0,0,0,0
"Less than 0,5 hour",Quite interested,Yes,SOCIAL DEMOCRATS,Extremely happy,Very good,Yes,Yes,Yes,No,0,0,0,Yes,No,Not applicable,Agree strongly,Agree,Agree strongly,1.000000,Female,No,1940.000,"Yes, currently",F,Town or small city,0,1,0,0,1
"Less than 0,5 hour",Hardly interested,Yes,SOCIAL DEMOCRATS,Extremely happy,Very good,Yes,Yes,Yes,No,0,0,0,Yes,No,1.000000,Agree,Agree,Agree,3.000000,Male,No,1967.000,"Yes, currently",P,Farm or home in countrys,0,1,0,0,1
"0,5 hour to 1 hour",Quite interested,Yes,CONSERVATIVE,8,Very good,Yes,Yes,Yes,No,0,0,1,Yes,Yes,4.000000,Agree strongly,Agree,Agree,5.000000,Male,No,1952.000,No,D,Country village,0,1,0,0,0
"0,5 hour to 1 hour",Very interested,Yes,LIBERALS,Extremely happy,Very good,Yes,No,No,Yes,0,0,0,Yes,No,Not applicable,Agree,Agree strongly,Agree,2.000000,Male,No,1976.000,No,H,A big city,0,1,0,1,0
"Less than 0,5 hour",Very interested,No,NOT APPLICABLE,4,Bad,Yes,No,No,No,0,0,0,No,No,Not applicable,Disagree,Neither agree nor disagr,Disagree,2.000000,Female,No,1986.000,No,M,Town or small city,0,0,0,0,0
"Less than 0,5 hour",Very interested,Yes,SOCIAL DEMOCRATS,9,Very good,Yes,Yes,Yes,No,0,0,0,Yes,Yes,2.000000,Agree,Agree,Neither agree nor disagr,4.000000,Male,No,1952.000,"Yes, currently",D,A big city,0,1,0,0,1
"0,5 hour to 1 hour",Quite interested,Yes,SOCIAL DEMOCRATS,9,Good,Yes,Yes,Yes,No,0,0,0,Yes,Yes,2.000000,Agree,Agree,Agree,2.000000,Female,No,1943.000,"Yes, currently",D,Country village,0,1,0,0,1
"Less than 0,5 hour",Quite interested,Yes,CENTRE PARTY,9,Good,No,No,No,No,1,0,0,Yes,Yes,3.000000,Neither agree nor disagr,Agree,Agree,1.000000,Female,No,1920.000,"Yes, currently",Don't know,Country village,0,1,0,0,0
"Less than 0,5 hour",Quite interested,Yes,CONSERVATIVE,4,Good,Yes,Yes,Yes,No,0,0,1,Yes,No,2.000000,Agree,Agree,Disagree,3.000000,Male,Yes,1971.000,"Yes, currently",S,Country village,0,0,0,0,0
"More than 1 hour, up to ",Quite interested,Yes,LIBERALS,8,Good,Yes,Yes,Yes,No,0,0,0,Yes,Yes,2.000000,Agree,Agree,Agree,2.000000,Male,No,1931.000,"Yes, currently",P,Suburbs or outskirts of ,0,1,0,1,0
"Less than 0,5 hour",Quite interested,Yes,CHRISTIAN DEMOCRATS,9,Very good,Yes,Yes,Yes,No,0,1,0,Yes,Yes,2.000000,Agree strongly,Agree strongly,Agree,4.000000,Male,No,1967.000,"Yes, currently",D,Town or small city,0,1,0,0,0
"Less than 0,5 hour",Hardly interested,Yes,LEFT,Extremely happy,Good,Yes,Yes,Yes,No,0,0,0,Yes,Yes,1.000000,Agree strongly,Agree,Agree,2.000000,Male,No,1941.000,"Yes, previously",K,Town or small city,0,1,1,0,0
"0,5 hour to 1 hour",Very interested,Yes,SOCIAL DEMOCRATS,9,Very good,Yes,Yes,Yes,No,0,0,0,No,No,Not applicable,Agree,Agree,Agree,1.000000,Female,No,1981.000,"Yes, previously",F,Town or small city,0,1,0,0,1
No time at all,Not at all interested,Yes,GREEN PARTY,8,Good,Yes,Yes,Yes,No,0,0,0,Yes,Yes,2.000000,Agree,Agree,Agree,2.000000,Female,No,1948.000,No,K,Suburbs or outskirts of ,1,1,0,0,0
"0,5 hour to 1 hour",Hardly interested,Yes,REFUSAL,Don't know,Fair,Yes,Yes,Yes,No,0,0,0,Yes,No,Not applicable,Neither agree nor disagr,Neither agree nor disagr,Disagree,1.000000,Female,Yes,1948.000,"Yes, previously",F,Suburbs or outskirts of ,0,1,0,0,0
"More than 1 hour, up to ",Quite interested,Yes,CENTRE PARTY,8,Good,Yes,Yes,Yes,No,1,0,0,Yes,Yes,1.000000,Agree,Agree,Agree,2.000000,Male,No,1941.000,"Yes, currently",P,Farm or home in countrys,0,1,0,0,0
"Less than 0,5 hour",Quite interested,Yes,SOCIAL DEMOCRATS,Extremely happy,Very good,Yes,Yes,Yes,No,0,0,0,Yes,No,1.000000,Agree,Agree,Agree,3.000000,Male,No,1975.000,"Yes, currently",H,A big city,0,1,0,0,1
"0,5 hour to 1 hour",Quite interested,Yes,LIBERALS,Extremely happy,Very good,Yes,Yes,No,No,0,0,0,Yes,Yes,2.000000,Agree strongly,Agree strongly,Agree strongly,2.000000,Female,No,1945.000,"Yes, previously",K,Farm or home in countrys,0,1,0,1,0
"Less than 0,5 hour",Hardly interested,Yes,CENTRE PARTY,Extremely happy,Fair,Yes,Yes,Yes,No,1,0,0,Yes,Yes,3.000000,Agree strongly,Agree,Agree strongly,2.000000,Female,No,1938.000,"Yes, previously",J,Farm or home in countrys,0,1,0,0,0
"0,5 hour to 1 hour",Hardly interested,Yes,SOCIAL DEMOCRATS,8,Good,Yes,Yes,Yes,No,0,0,0,Yes,Yes,2.000000,Neither agree nor disagr,Agree,Agree,3.000000,Female,No,1959.000,"Yes, currently",D,Town or small city,0,1,0,0,1
"Less than 0,5 hour",Quite interested,Yes,SOCIAL DEMOCRATS,Extremely happy,Very good,Yes,Yes,Yes,No,0,0,0,Yes,No,Not applicable,Agree,Agree strongly,Agree,2.000000,Male,No,1988.000,No,M,Town or small city,0,1,0,0,1
"Less than 0,5 hour",Not at all interested,Not eligible to vote,NOT APPLICABLE,7,Good,Yes,Yes,Yes,No,0,0,0,No,No,Not applicable,Disagree,Agree,Agree,5.000000,Female,No,1990.000,No,Don't know,Town or small city,0,1,0,0,0
"0,5 hour to 1 hour",Quite interested,Yes,CENTRE PARTY,8,Good,Yes,Yes,Yes,Yes,1,0,0,Yes,Yes,3.000000,Neither agree nor disagr,Neither agree nor disagr,Agree,2.000000,Male,No,1941.000,"Yes, currently",D,Farm or home in countrys,0,1,0,0,0
"0,5 hour to 1 hour",Quite interested,Yes,LIBERALS,9,Good,Yes,Yes,Yes,No,0,0,0,Yes,Yes,2.000000,Agree,Neither agree nor disagr,Agree,4.000000,Male,No,1961.000,"Yes, previously",D,Suburbs or outskirts of ,0,1,0,1,0
"Less than 0,5 hour",Hardly interested,Yes,CENTRE PARTY,Extremely happy,Good,Yes,Yes,Yes,Yes,1,0,0,Yes,Yes,2.000000,Agree strongly,Agree strongly,Agree,2.000000,Female,No,1960.000,"Yes, previously",S,Town or small city,0,1,0,0,0
"Less than 0,5 hour",Hardly interested,Yes,SOCIAL DEMOCRATS,9,Very good,Yes,Yes,Yes,No,0,0,0,Yes,No,1.000000,Agree,Agree,Agree,3.000000,Female,No,1983.000,"Yes, currently",K,Country village,0,1,0,0,1
"Less than 0,5 hour",Quite interested,Yes,SOCIAL DEMOCRATS,9,Very good,Yes,Yes,No,No,0,0,0,Yes,No,Not applicable,Agree,Agree strongly,Agree strongly,2.000000,Female,No,1987.000,No,F,Country village,0,1,0,0,1
"0,5 hour to 1 hour",Hardly interested,Yes,CONSERVATIVE,8,Good,Yes,Yes,Yes,No,0,0,1,Yes,No,1.000000,Agree strongly,Agree strongly,Agree,3.000000,Female,No,1975.000,"Yes, currently",D,Town or small city,0,1,0,0,0
"More than 1,5 hours, up ",Very interested,No,NOT APPLICABLE,8,Bad,No,No,No,Yes,0,0,0,Yes,Yes,Not applicable,Agree,Agree,Neither agree nor disagr,2.000000,Female,No,1983.000,No,S,A big city,0,1,0,0,0
"0,5 hour to 1 hour",Very interested,Yes,SOCIAL DEMOCRATS,7,Good,Yes,Yes,Yes,Yes,0,0,0,No,No,Not applicable,Agree,Neither agree nor disagr,Neither agree nor disagr,1.000000,Female,No,1951.000,"Yes, currently",D,A big city,0,1,0,0,1
"0,5 hour to 1 hour",Quite interested,Yes,GREEN PARTY,7,Good,Yes,Yes,Yes,No,0,0,0,Yes,Yes,2.000000,Agree,Neither agree nor disagr,Neither agree nor disagr,1.000000,Female,No,1957.000,"Yes, currently",S,Town or small city,1,1,0,0,0
"Less than 0,5 hour",Very interested,Yes,SOCIAL DEMOCRATS,6,Very good,Yes,Yes,Yes,No,0,0,0,Yes,No,Not applicable,Neither agree nor disagr,Neither agree nor disagr,Agree,1.000000,Female,Yes,1954.000,"Yes, currently",F,A big city,0,1,0,0,1
"Less than 0,5 hour",Quite interested,Yes,SOCIAL DEMOCRATS,7,Fair,Yes,Yes,Yes,Yes,0,0,0,Yes,Yes,3.000000,Agree,Agree,Agree,2.000000,Female,No,1951.000,"Yes, currently",D,Country village,0,1,0,0,1
"More than 2,5 hours, up ",Quite interested,Yes,CONSERVATIVE,Extremely happy,Fair,Yes,Yes,Yes,Yes,0,0,1,Yes,Yes,3.000000,Agree,Agree,Agree,2.000000,Male,No,1932.000,"Yes, currently",K,Town or small city,0,1,0,0,0
"Less than 0,5 hour",Quite interested,Yes,LIBERALS,8,Very good,Yes,Yes,Yes,No,0,0,0,Yes,Yes,3.000000,Agree,Agree,Agree,5.000000,Male,No,1964.000,"Yes, currently",H,Town or small city,0,1,0,1,0
"Less than 0,5 hour",Not at all interested,Yes,SOCIAL DEMOCRATS,6,Good,Yes,Yes,Yes,Yes,0,0,0,Yes,Yes,2.000000,Agree,Agree,Agree,1.000000,Female,No,1954.000,"Yes, currently",F,Town or small city,0,1,0,0,1
"More than 1 hour, up to ",Hardly interested,Yes,LIBERALS,7,Good,Yes,Yes,Yes,Yes,0,0,0,Yes,Yes,2.000000,Agree,Agree,Agree,4.000000,Female,No,1963.000,No,D,Suburbs or outskirts of ,0,1,0,1,0
"0,5 hour to 1 hour",Very interested,Yes,OTHER,Extremely happy,Fair,No,No,No,Yes,0,0,0,Yes,Yes,1.000000,Agree,Agree,Agree,2.000000,Female,No,1940.000,"Yes, previously",S,Town or small city,0,1,0,0,0
"More than 1 hour, up to ",Very interested,Yes,SOCIAL DEMOCRATS,8,Good,No,No,No,No,0,0,0,Yes,No,1.000000,Agree,Agree,Agree,2.000000,Male,No,1957.000,"Yes, currently",F,Suburbs or outskirts of ,0,1,0,0,1
"Less than 0,5 hour",Hardly interested,Yes,CENTRE PARTY,7,Very good,Yes,Yes,Yes,Yes,1,0,0,Yes,No,Not applicable,Agree,Agree,Neither agree nor disagr,2.000000,Female,Yes,1984.000,"Yes, currently",P,Country village,0,1,0,0,0
"Less than 0,5 hour",Very interested,Yes,LEFT,8,Very good,Yes,Yes,Yes,No,0,0,0,Yes,Yes,1.000000,Agree,Agree,Agree,3.000000,Male,No,1959.000,"Yes, currently",P,Country village,0,1,1,0,0
No time at all,Hardly interested,Yes,REFUSAL,9,Very good,Yes,Yes,Yes,Yes,0,0,0,Yes,Yes,1.000000,Neither agree nor disagr,Agree,Agree,3.000000,Female,No,1965.000,"Yes, currently",D,Suburbs or outskirts of ,0,1,0,0,0
"Less than 0,5 hour",Quite interested,Yes,CONSERVATIVE,8,Good,Yes,Yes,Yes,Yes,0,0,1,Yes,No,Not applicable,Agree,Agree,Agree,1.000000,Male,Yes,1973.000,"Yes, currently",P,Suburbs or outskirts of ,0,1,0,0,0
"More than 1,5 hours, up ",Quite interested,Yes,CONSERVATIVE,7,Good,Yes,Yes,Yes,No,0,0,1,Yes,Yes,2.000000,Agree,Neither agree nor disagr,Agree,2.000000,Male,No,1925.000,"Yes, previously",P,A big city,0,1,0,0,0
"0,5 hour to 1 hour",Quite interested,Yes,SOCIAL DEMOCRATS,8,Fair,Yes,Yes,Yes,No,0,0,0,Yes,Yes,2.000000,Agree,Agree,Agree,1.000000,Female,No,1940.000,"Yes, currently",F,A big city,0,1,0,0,1
"Less than 0,5 hour",Quite interested,Yes,CONSERVATIVE,8,Very good,Yes,Yes,Yes,No,0,0,1,Yes,Yes,1.000000,Agree,Agree,Agree,5.000000,Male,Yes,1973.000,"Yes, previously",D,Suburbs or outskirts of ,0,1,0,0,0
"Less than 0,5 hour",Hardly interested,Yes,CONSERVATIVE,Extremely happy,Good,Yes,Yes,Yes,No,0,0,1,Yes,No,2.000000,Agree,Agree,Agree,4.000000,Female,Yes,1975.000,"Yes, currently",D,Suburbs or outskirts of ,0,1,0,0,0
"0,5 hour to 1 hour",Quite interested,No,NOT APPLICABLE,8,Good,Yes,Yes,Yes,No,0,0,0,No,No,1.000000,Agree,Agree,Agree,1.000000,Female,No,1931.000,"Yes, currently",F,Country village,0,1,0,0,0
No time at all,Not at all interested,Not eligible to vote,NOT APPLICABLE,7,Fair,No,No,No,No,0,0,0,Yes,Yes,7.000000,No answer,Don't know,No answer,1.000000,Female,No,1925.000,"Yes, previously",Don't know,Country village,0,1,0,0,0
"0,5 hour to 1 hour",Quite interested,Yes,REFUSAL,7,Good,Yes,Yes,Yes,Yes,0,0,0,Yes,Yes,3.000000,Neither agree nor disagr,Neither agree nor disagr,Agree,2.000000,Female,No,1951.000,"Yes, currently",Don't know,Farm or home in countrys,0,1,0,0,0
No time at all,Hardly interested,No,NOT APPLICABLE,5,Bad,No,No,No,No,0,0,0,Yes,Yes,4.000000,Neither agree nor disagr,Neither agree nor disagr,Agree,6.000000,Male,Yes,1965.000,No,S,Town or small city,0,0,0,0,0
"0,5 hour to 1 hour",Quite interested,Yes,LEFT,5,Good,Yes,Yes,Yes,No,0,0,0,Yes,Yes,2.000000,Neither agree nor disagr,Neither agree nor disagr,Agree,3.000000,Male,Yes,1947.000,"Yes, currently",P,Town or small city,0,0,1,0,0
"Less than 0,5 hour",Hardly interested,No,NOT APPLICABLE,7,Good,No,No,No,No,0,0,0,Yes,Yes,1.000000,Neither agree nor disagr,Agree,Agree,3.000000,Female,Yes,1967.000,"Yes, currently",D,Country village,0,1,0,0,0
"Less than 0,5 hour",Quite interested,Yes,REFUSAL,9,Good,Yes,No,Yes,No,0,0,0,Yes,Yes,3.000000,Agree,Agree,Agree,3.000000,Male,No,1957.000,"Yes, currently",D,Country village,0,1,0,0,0
"0,5 hour to 1 hour",Quite interested,Yes,CONSERVATIVE,8,Good,Yes,Yes,Yes,Yes,0,0,1,Yes,Yes,2.000000,Agree,Agree,Agree,3.000000,Male,No,1949.000,"Yes, currently",P,Suburbs or outskirts of ,0,1,0,0,0
"0,5 hour to 1 hour",Hardly interested,Yes,CONSERVATIVE,5,Fair,Yes,Yes,Yes,No,0,0,1,Yes,Yes,1.000000,Disagree,Agree,Agree,1.000000,Female,No,1927.000,"Yes, previously",M,Town or small city,0,0,0,0,0
"0,5 hour to 1 hour",Quite interested,Yes,SOCIAL DEMOCRATS,9,Good,Yes,Yes,Yes,No,0,0,0,No,No,Not applicable,Agree,Agree,Neither agree nor disagr,1.000000,Female,No,1942.000,"Yes, currently",F,Town or small city,0,1,0,0,1
No time at all,Quite interested,Not eligible to vote,NOT APPLICABLE,7,Good,Yes,Yes,Yes,Yes,0,0,0,No,No,Not applicable,Agree,Agree,Agree,5.000000,Male,No,1989.000,No,Don't know,Country village,0,1,0,0,0
"0,5 hour to 1 hour",Quite interested,Yes,SOCIAL DEMOCRATS,7,Very good,Yes,Yes,Yes,No,0,0,0,Yes,No,3.000000,Agree strongly,Agree strongly,Agree,1.000000,Male,No,1950.000,"Yes, currently",S,Country village,0,1,0,0,1
"0,5 hour to 1 hour",Quite interested,Yes,CENTRE PARTY,7,Fair,Yes,Yes,Yes,No,1,0,0,Yes,Yes,2.000000,Neither agree nor disagr,Agree,Agree,2.000000,Female,No,1944.000,"Yes, currently",P,Farm or home in countrys,0,1,0,0,0
"Less than 0,5 hour",Hardly interested,Yes,OTHER,4,Good,Yes,No,Yes,No,0,0,0,No,No,Not applicable,Agree,Disagree,Disagree,5.000000,Male,Yes,1981.000,"Yes, previously",D,Town or small city,0,0,0,0,0
"Less than 0,5 hour",Quite interested,No,NOT APPLICABLE,Extremely happy,Very good,Yes,Yes,No,Yes,0,0,0,Yes,No,Not applicable,Agree strongly,Agree,Agree,3.000000,Male,No,1984.000,No,P,Country village,0,1,0,0,0
"0,5 hour to 1 hour",Quite interested,Yes,REFUSAL,8,Good,Yes,Yes,Yes,No,0,0,0,Yes,Yes,2.000000,Neither agree nor disagr,Agree,Neither agree nor disagr,4.000000,Male,No,1962.000,"Yes, currently",Refusal,Suburbs or outskirts of ,0,1,0,0,0
"Less than 0,5 hour",Hardly interested,Yes,CONSERVATIVE,8,Good,Yes,Yes,Don't know,Yes,0,0,1,Yes,No,Not applicable,Agree strongly,Agree,Agree strongly,4.000000,Female,No,1978.000,"Yes, currently",H,A big city,0,1,0,0,0
"0,5 hour to 1 hour",Quite interested,Yes,SOCIAL DEMOCRATS,8,Very good,Yes,Yes,Yes,No,0,0,0,Yes,Yes,1.000000,Agree,Agree,Agree,2.000000,Male,No,1944.000,"Yes, previously",K,Country village,0,1,0,0,1
No time at all,Quite interested,Yes,CONSERVATIVE,8,Very good,Yes,Yes,Yes,No,0,0,1,Yes,Yes,1.000000,Neither agree nor disagr,Agree,Neither agree nor disagr,3.000000,Female,Yes,1972.000,No,D,Suburbs or outskirts of ,0,1,0,0,0
"0,5 hour to 1 hour",Hardly interested,No,NOT APPLICABLE,8,Good,Yes,Yes,Yes,Yes,0,0,0,No,No,Not applicable,Agree,Agree strongly,Agree,3.000000,Male,Yes,1985.000,No,P,Country village,0,1,0,0,0
"0,5 hour to 1 hour",Very interested,Yes,LIBERALS,6,Bad,Yes,Yes,Yes,No,0,0,0,Yes,Yes,2.000000,Neither agree nor disagr,Agree,Neither agree nor disagr,2.000000,Female,No,1939.000,No,D,A big city,0,1,0,1,0
"Less than 0,5 hour",Quite interested,Yes,SOCIAL DEMOCRATS,8,Very good,Yes,No,No,Yes,0,0,0,Yes,Yes,2.000000,Agree,Agree,Agree,3.000000,Female,No,1964.000,"Yes, currently",P,Town or small city,0,1,0,0,1
"0,5 hour to 1 hour",Quite interested,Yes,SOCIAL DEMOCRATS,9,Very good,Yes,Yes,Yes,No,0,0,0,Yes,Yes,3.000000,Disagree,Agree,Agree,5.000000,Male,Yes,1966.000,"Yes, previously",D,Town or small city,0,1,0,0,1
"0,5 hour to 1 hour",Quite interested,No,NOT APPLICABLE,9,Very good,No,No,No,No,0,0,0,Yes,Yes,3.000000,Agree strongly,Agree,Agree,1.000000,Female,No,1952.000,"Yes, currently",D,Suburbs or outskirts of ,0,1,0,0,0
"Less than 0,5 hour",Hardly interested,Yes,REFUSAL,7,Very bad,No,No,No,No,0,0,0,Yes,Yes,2.000000,Agree,Neither agree nor disagr,Disagree strongly,1.000000,Female,No,1941.000,"Yes, currently",M,Town or small city,0,1,0,0,0
"0,5 hour to 1 hour",Hardly interested,Yes,LIBERALS,8,Very good,Yes,Yes,Yes,No,0,0,0,Yes,Yes,3.000000,Agree,Agree,Agree,4.000000,Female,No,1960.000,No,S,Country village,0,1,0,1,0
"0,5 hour to 1 hour",Quite interested,Yes,GREEN PARTY,8,Very good,Yes,Yes,Yes,No,0,0,0,Yes,Yes,5.000000,Agree,Agree,Agree,2.000000,Female,No,1947.000,"Yes, currently",M,Farm or home in countrys,1,1,0,0,0
"Less than 0,5 hour",Quite interested,Not eligible to vote,NOT APPLICABLE,9,Good,Yes,Yes,Yes,No,0,0,0,No,No,Not applicable,Agree,Agree,Agree,3.000000,Female,Yes,1989.000,No,K,Suburbs or outskirts of ,0,1,0,0,0
"Less than 0,5 hour",Not at all interested,Not eligible to vote,NOT APPLICABLE,5,Good,Yes,Yes,Yes,No,0,0,0,No,No,Not applicable,Disagree,Neither agree nor disagr,Neither agree nor disagr,3.000000,Male,No,1990.000,No,Don't know,Town or small city,0,0,0,0,0
"Less than 0,5 hour",Not at all interested,Yes,OTHER,9,Very good,Yes,Yes,Yes,No,0,0,0,Yes,Yes,4.000000,Neither agree nor disagr,Neither agree nor disagr,Neither agree nor disagr,3.000000,Female,Yes,1957.000,No,P,Town or small city,0,1,0,0,0
"0,5 hour to 1 hour",Not at all interested,Yes,SOCIAL DEMOCRATS,9,Very good,Yes,Yes,Yes,Yes,0,0,0,No,No,Not applicable,Neither agree nor disagr,Agree,Agree,5.000000,Male,Yes,1986.000,No,Don't know,Town or small city,0,1,0,0,1
"More than 1 hour, up to ",Very interested,Yes,GREEN PARTY,9,Very good,Yes,Yes,Yes,Yes,0,0,0,Yes,No,Not applicable,Agree,Agree,Agree,1.000000,Male,No,1975.000,"Yes, currently",S,Suburbs or outskirts of ,1,1,0,0,0
"0,5 hour to 1 hour",Quite interested,Yes,CONSERVATIVE,8,Very good,Yes,Yes,Yes,No,0,0,1,Yes,No,Not applicable,Agree strongly,Agree,Agree,2.000000,Male,No,1979.000,"Yes, currently",S,Town or small city,0,1,0,0,0
"0,5 hour to 1 hour",Hardly interested,No,NOT APPLICABLE,Extremely happy,Good,No,No,No,Yes,0,0,0,Yes,Yes,2.000000,Agree strongly,Neither agree nor disagr,Agree,2.000000,Male,No,1944.000,"Yes, currently",K,Town or small city,0,1,0,0,0
"0,5 hour to 1 hour",Very interested,Yes,CENTRE PARTY,8,Good,Yes,Yes,Yes,Yes,1,0,0,Yes,Yes,3.000000,Neither agree nor disagr,Agree,Agree,1.000000,Female,No,1943.000,"Yes, currently",P,Town or small city,0,1,0,0,0
No time at all,Not at all interested,Not eligible to vote,NOT APPLICABLE,Extremely happy,Very good,No,Yes,Yes,No,0,0,0,No,No,Not applicable,Agree strongly,Agree strongly,Neither agree nor disagr,4.000000,Male,No,1990.000,No,D,A big city,0,1,0,0,0
"0,5 hour to 1 hour",Very interested,Yes,LIBERALS,8,Good,Yes,Yes,Yes,No,0,0,0,Yes,Yes,Not applicable,Agree strongly,Agree,Agree,2.000000,Female,No,1966.000,"Yes, currently",D,Town or small city,0,1,0,1,0
"0,5 hour to 1 hour",Very interested,Yes,SOCIAL DEMOCRATS,8,Good,No,No,No,No,0,0,0,Yes,Yes,4.000000,Neither agree nor disagr,Agree,Neither agree nor disagr,4.000000,Female,No,1969.000,No,F,Suburbs or outskirts of ,0,1,0,0,1
"0,5 hour to 1 hour",Very interested,No,NOT APPLICABLE,Extremely happy,Very good,No,No,No,No,0,0,0,No,No,Not applicable,Agree strongly,Agree strongly,Agree,3.000000,Male,Yes,1983.000,No,Don't know,Suburbs or outskirts of ,0,1,0,0,0
"0,5 hour to 1 hour",Not at all interested,Yes,REFUSAL,Extremely happy,Fair,Yes,Yes,Yes,No,0,0,0,No,No,Not applicable,Agree,Disagree strongly,Agree,1.000000,Female,No,1936.000,"Yes, previously",M,Town or small city,0,1,0,0,0
"0,5 hour to 1 hour",Very interested,Yes,LEFT,Extremely happy,Good,Yes,Yes,Yes,No,0,0,0,Yes,Yes,2.000000,Agree strongly,Agree,Agree,3.000000,Male,No,1946.000,"Yes, currently",D,Town or small city,0,1,1,0,0
"0,5 hour to 1 hour",Quite interested,Yes,SOCIAL DEMOCRATS,7,Good,Yes,Yes,Yes,Yes,0,0,0,Yes,Yes,4.000000,Agree,Agree,Neither agree nor disagr,2.000000,Female,No,1938.000,"Yes, previously",D,Suburbs or outskirts of ,0,1,0,0,1
"Less than 0,5 hour",Not at all interested,Yes,SOCIAL DEMOCRATS,8,Very good,Yes,Yes,Yes,Yes,0,0,0,Yes,No,Not applicable,Agree strongly,Agree,Agree,1.000000,Female,No,1985.000,"Yes, currently",M,Town or small city,0,1,0,0,1
"Less than 0,5 hour",Not at all interested,No,NOT APPLICABLE,8,Good,Yes,Yes,Yes,No,0,0,0,Yes,Yes,2.000000,Agree,Agree,Agree,4.000000,Male,No,1953.000,"Yes, currently",D,Country village,0,1,0,0,0
"0,5 hour to 1 hour",Very interested,Yes,LIBERALS,3,Bad,Yes,Yes,Yes,No,0,0,0,Yes,Yes,2.000000,Disagree,Disagree,Disagree strongly,1.000000,Male,No,1928.000,No,M,Country village,0,0,0,1,0
"More than 1 hour, up to ",Quite interested,Yes,SOCIAL DEMOCRATS,8,Good,Yes,Yes,Yes,Yes,0,0,0,No,No,Not applicable,Agree,Agree,Agree,1.000000,Male,Yes,1955.000,"Yes, currently",K,Town or small city,0,1,0,0,1
"More than 1 hour, up to ",Quite interested,Yes,CONSERVATIVE,7,Good,Yes,Yes,Yes,No,0,0,1,Yes,Yes,2.000000,Neither agree nor disagr,Agree,Agree,1.000000,Male,No,1943.000,"Yes, previously",D,A big city,0,1,0,0,0
"0,5 hour to 1 hour",Very interested,Yes,CONSERVATIVE,Extremely happy,Good,Yes,No,Yes,No,0,0,1,Yes,Yes,2.000000,Agree strongly,Agree strongly,Agree strongly,2.000000,Male,No,1936.000,"Yes, currently",D,Town or small city,0,1,0,0,0
"0,5 hour to 1 hour",Very interested,Yes,CONSERVATIVE,8,Good,Yes,Yes,Yes,No,0,0,1,Yes,No,2.000000,Agree strongly,Agree strongly,Agree,4.000000,Male,No,1968.000,"Yes, currently",D,A big city,0,1,0,0,0
"0,5 hour to 1 hour",Quite interested,Yes,SOCIAL DEMOCRATS,9,Good,Yes,Yes,Yes,No,0,0,0,Yes,Yes,4.000000,Agree,Agree,Agree strongly,2.000000,Female,No,1951.000,"Yes, currently",P,Town or small city,0,1,0,0,1
"More than 1 hour, up to ",Very interested,Yes,CENTRE PARTY,8,Good,Yes,Yes,Yes,No,1,0,0,Yes,No,Not applicable,Agree,Agree,Agree,1.000000,Male,Yes,1942.000,"Yes, currently",K,A big city,0,1,0,0,0
No time at all,Hardly interested,No,NOT APPLICABLE,8,Good,Yes,Yes,Yes,Yes,0,0,0,Yes,No,Not applicable,Agree strongly,Agree,Agree,1.000000,Female,Yes,1974.000,"Yes, currently",S,Country village,0,1,0,0,0
"0,5 hour to 1 hour",Hardly interested,Yes,SOCIAL DEMOCRATS,6,Good,Yes,Yes,Yes,No,0,0,0,Yes,Yes,3.000000,Neither agree nor disagr,Disagree,Disagree,4.000000,Male,No,1967.000,"Yes, currently",D,Town or small city,0,1,0,0,1
"Less than 0,5 hour",Quite interested,Yes,LIBERALS,5,Good,Yes,Yes,Yes,No,0,0,0,Yes,Yes,3.000000,Agree,Agree strongly,Disagree strongly,2.000000,Female,No,1936.000,"Yes, previously",S,Country village,0,0,0,1,0
"0,5 hour to 1 hour",Quite interested,Yes,LIBERALS,7,Very good,Yes,Yes,Yes,Yes,0,0,0,Yes,Yes,3.000000,Agree,Agree,Neither agree nor disagr,2.000000,Male,No,1959.000,"Yes, currently",S,Town or small city,0,1,0,1,0
No time at all,Very interested,Yes,CENTRE PARTY,5,Very bad,No,No,No,No,1,0,0,Yes,Yes,4.000000,Disagree,Agree strongly,Disagree,2.000000,Male,No,1942.000,"Yes, previously",F,A big city,0,0,0,0,0
"Less than 0,5 hour",Quite interested,Not eligible to vote,NOT APPLICABLE,9,Good,No,No,No,No,0,0,0,Yes,Yes,Not applicable,Agree,Agree,Agree,2.000000,Male,Yes,1979.000,No,Refusal,A big city,0,1,0,0,0
"More than 1 hour, up to ",Quite interested,Yes,SOCIAL DEMOCRATS,Extremely happy,Good,Yes,Yes,Yes,No,0,0,0,Yes,Yes,1.000000,Agree,Disagree,Agree,2.000000,Male,No,1939.000,"Yes, currently",M,Farm or home in countrys,0,1,0,0,1
